,gen,best,mean,std,solution
81,30.0,73.00000000000003,52.83980000000003,16.503583003699532,1
82,31.0,73.00000000000003,54.769400000000026,13.126168810433612,1
83,32.0,73.00000000000003,54.31760000000004,13.403796560676389,1
84,33.0,73.00000000000003,53.54700000000005,15.174461275445672,1
85,34.0,73.00000000000003,53.238600000000034,15.282008311737048,1
86,35.0,74.26000000000003,52.13480000000004,16.45409216456503,1
87,36.0,74.26000000000003,53.18820000000003,16.35680704660907,1
88,37.0,74.26000000000003,50.47340000000003,18.711562854021583,1
89,38.0,80.06000000000006,53.303600000000046,15.49964964249193,1
90,39.0,80.06000000000006,51.36560000000002,15.838093339793154,1
91,40.0,80.06000000000006,55.61600000000003,12.05753507148124,1
92,41.0,80.06000000000006,56.627800000000036,11.021524357365461,1
93,42.0,80.06000000000006,54.67980000000002,12.919632655768513,1
94,43.0,80.06000000000006,52.61480000000004,15.158680844981205,1
95,44.0,80.06000000000006,54.01480000000002,14.276531124891653,1
96,45.0,80.06000000000006,55.623400000000046,15.378445189290112,1
97,46.0,80.06000000000006,60.283600000000035,12.251603774200342,1
98,47.0,80.06000000000006,58.988600000000034,12.728806151403207,1
99,48.0,84.72000000000001,62.19020000000003,10.830834684362975,1
100,49.0,84.72000000000001,62.29440000000003,8.719760583869263,1
101,50.0,84.72000000000001,65.21640000000002,8.744148388493873,1
102,0.0,56.36000000000003,13.027800000000015,14.424731510846227,2
103,1.0,61.460000000000036,19.62920000000002,18.51776604669149,2
104,2.0,61.66000000000004,24.61080000000002,21.644884184490348,2
105,3.0,61.66000000000004,26.27840000000002,20.99336860630042,2
106,4.0,62.36000000000003,33.757400000000025,19.152148214756487,2
107,5.0,65.92000000000003,33.30920000000002,21.06176182943868,2
108,6.0,73.14000000000004,33.83580000000002,20.792134338734936,2
109,7.0,73.14000000000004,36.443600000000025,21.38056545183032,2
110,8.0,73.14000000000004,40.062800000000024,22.185889933919718,2
111,9.0,73.14000000000004,41.76880000000003,22.62826238490265,2
112,10.0,73.14000000000004,41.99140000000003,22.04343480585547,2
113,11.0,73.14000000000004,38.973600000000026,22.233028022291528,2
114,12.0,73.14000000000004,45.35900000000003,20.136534632354206,2
115,13.0,73.14000000000004,49.20740000000003,18.058475606761505,2
116,14.0,73.14000000000004,51.358600000000024,15.306365278536912,2
117,15.0,73.14000000000004,50.310800000000036,17.749627921734028,2
118,16.0,73.14000000000004,53.58200000000002,15.972056223291984,2
119,17.0,73.14000000000004,53.96260000000003,16.473830314775014,2
120,18.0,73.14000000000004,55.70980000000003,12.32195974510549,2
121,19.0,73.24000000000004,55.614600000000024,12.850115596367225,2
122,20.0,73.24000000000004,53.34140000000003,16.569886482411405,2
123,21.0,77.12000000000002,51.45900000000003,19.543306654709184,2
124,22.0,77.12000000000002,51.63340000000004,17.960367491785917,2
125,23.0,77.12000000000002,51.62420000000003,16.973727768525105,2
126,24.0,77.12000000000002,55.67680000000004,12.09382113973909,2
127,25.0,77.12000000000002,56.399200000000036,13.257778371959619,2
128,26.0,77.12000000000002,56.58660000000003,10.944893989436357,2
129,27.0,77.12000000000002,55.494200000000035,14.361410040800317,2
130,28.0,77.12000000000002,57.114600000000046,11.580885926387502,2
131,29.0,77.12000000000002,56.18360000000004,12.803682713969454,2
132,30.0,77.12000000000002,57.81240000000003,10.656435719320045,2
133,31.0,77.12000000000002,55.33340000000002,12.231664172957013,2
134,32.0,77.12000000000002,54.29260000000005,15.354887861524753,2
135,33.0,77.12000000000002,53.620600000000024,15.639858427748,2
136,34.0,77.12000000000002,52.47440000000003,16.560172723736923,2
137,35.0,77.12000000000002,54.34960000000003,14.725965226089604,2
138,36.0,77.12000000000002,56.14640000000003,11.767092718254586,2
139,37.0,77.12000000000002,55.00680000000003,13.140960762440475,2
140,38.0,77.12000000000002,55.76320000000003,13.933215485307048,2
141,39.0,77.12000000000002,55.30540000000003,13.437868835496207,2
142,40.0,77.12000000000002,56.12980000000003,12.468854797454341,2
143,41.0,77.12000000000002,58.23980000000003,9.099833183086385,2
144,42.0,77.12000000000002,57.869200000000035,11.523527036458939,2
145,43.0,77.12000000000002,58.269200000000055,10.720128887284893,2
146,44.0,77.12000000000002,57.72060000000001,11.091667667217596,2
147,45.0,77.12000000000002,56.73100000000002,11.678091753364503,2
148,46.0,77.12000000000002,55.81720000000003,13.931346530755748,2
149,47.0,77.12000000000002,54.11540000000003,15.012302915941984,2
150,48.0,77.12000000000002,54.076600000000035,14.031908795313633,2
151,49.0,77.12000000000002,55.53600000000004,13.194518558856181,2
152,50.0,77.12000000000002,55.87260000000003,15.149160677740543,2
153,0.0,58.460000000000036,9.864800000000018,12.02894380068342,3
154,1.0,66.56000000000006,18.95760000000002,20.654960911122547,3
155,2.0,66.56000000000006,23.49020000000003,22.85884800159448,3
156,3.0,70.92000000000004,30.181000000000022,24.39466226452009,3
157,4.0,70.92000000000004,35.67240000000003,23.331858868079934,3
158,5.0,70.92000000000004,35.313000000000024,22.77224598057909,3
159,6.0,70.92000000000004,41.44380000000003,21.782197812892996,3
160,7.0,70.92000000000004,40.636000000000024,21.714421751453582,3
161,8.0,70.92000000000004,40.81300000000003,21.130963134698813,3
162,9.0,70.92000000000004,38.23160000000003,22.722998425383928,3
163,10.0,70.92000000000004,41.79000000000003,20.598511887998136,3
164,11.0,70.92000000000004,42.325200000000024,21.21992358515931,3
165,12.0,70.92000000000004,49.88220000000003,17.925908154400442,3
166,13.0,70.92000000000004,45.221200000000024,22.298313267150963,3
167,14.0,70.92000000000006,49.37020000000003,18.90997948068692,3
168,15.0,72.98000000000005,49.20940000000003,17.36734716760163,3
169,16.0,72.98000000000005,50.007800000000024,17.140887933826544,3
170,17.0,72.98000000000005,51.04760000000003,16.135893846948804,3
171,18.0,72.98000000000005,47.31880000000003,18.29847880453455,3
172,19.0,72.98000000000005,46.52080000000003,19.43116484825345,3
173,20.0,72.98000000000005,51.56820000000003,15.423530878498614,3
174,21.0,72.98000000000005,49.332800000000034,18.44626585951748,3
175,22.0,72.98000000000005,51.32800000000003,15.89017205696654,3
176,23.0,72.98000000000005,46.96220000000003,19.352313121691687,3
177,24.0,82.10000000000002,50.68400000000003,17.32494271274801,3
178,25.0,82.10000000000002,47.64240000000004,17.85943252849878,3
179,26.0,82.10000000000002,48.945600000000034,20.064028125977106,3
180,27.0,82.10000000000002,51.15620000000003,19.223568803944822,3
181,28.0,82.10000000000002,53.05740000000004,17.344004994233604,3
182,29.0,82.10000000000002,51.847000000000044,18.89784482421211,3
183,30.0,82.10000000000002,53.65400000000002,16.17548725695768,3
184,31.0,82.10000000000002,51.190400000000025,18.80803157802539,3
185,32.0,82.10000000000002,52.09440000000002,16.57179702506642,3
186,33.0,82.10000000000002,54.72580000000002,16.371685141120945,3
187,34.0,82.10000000000002,54.89380000000002,14.978634302231969,3
