,gen,enemy,best,mean,solution
267,7.0,8.0,84.64000000000013,20.678518518518537,2
268,8.0,3.0,77.6,27.955555555555552,2
269,8.0,4.0,62.560000000000095,9.428148148148152,2
270,8.0,6.0,48.0,14.222222222222221,2
271,8.0,8.0,84.64000000000013,35.703703703703745,2
272,9.0,3.0,77.6,23.17037037037037,2
273,9.0,4.0,78.88000000000012,11.588148148148152,2
274,9.0,6.0,48.0,21.11111111111111,2
275,9.0,8.0,85.84000000000013,48.31407407407414,2
276,10.0,3.0,77.6,31.200000000000003,2
277,10.0,4.0,78.88000000000012,12.444137931034486,2
278,10.0,6.0,48.0,18.413793103448278,2
279,10.0,8.0,85.84000000000013,47.4068965517242,2
280,11.0,3.0,77.6,34.772413793103446,2
281,11.0,4.0,78.88000000000012,19.285517241379324,2
282,11.0,6.0,48.0,18.20689655172414,2
283,11.0,8.0,85.84000000000013,49.17793103448282,2
284,12.0,3.0,77.6,32.786206896551725,2
285,12.0,4.0,78.88000000000012,7.892413793103452,2
286,12.0,6.0,48.0,21.724137931034484,2
287,12.0,8.0,85.84000000000013,43.94482758620695,2
288,13.0,3.0,82.4,37.710344827586205,2
289,13.0,4.0,78.88000000000012,11.409655172413796,2
290,13.0,6.0,48.0,17.379310344827587,2
291,13.0,8.0,85.84000000000013,43.536551724137986,2
292,14.0,3.0,82.4,37.37931034482759,2
293,14.0,4.0,78.88000000000012,15.351724137931047,2
294,14.0,6.0,48.0,17.379310344827587,2
295,14.0,8.0,87.04000000000012,49.92827586206903,2
296,15.0,3.0,82.4,35.75483870967742,2
297,15.0,4.0,78.88000000000012,9.318709677419358,2
298,15.0,6.0,48.0,21.29032258064516,2
299,15.0,8.0,93.04000000000008,45.94838709677425,2
300,16.0,3.0,82.4,34.03870967741935,2
301,16.0,4.0,78.88000000000012,13.770322580645164,2
302,16.0,6.0,48.0,17.419354838709676,2
303,16.0,8.0,93.04000000000008,48.064516129032306,2
304,17.0,3.0,82.4,35.08387096774193,2
305,17.0,4.0,78.88000000000012,11.060645161290326,2
306,17.0,6.0,48.0,23.419354838709676,2
307,17.0,8.0,93.04000000000008,52.95483870967748,2
308,18.0,3.0,82.4,34.96774193548387,2
309,18.0,4.0,78.88000000000012,11.060645161290326,2
310,18.0,6.0,48.0,22.258064516129032,2
311,18.0,8.0,93.04000000000008,52.59870967741942,2
312,19.0,3.0,82.4,32.27096774193548,2
313,19.0,4.0,78.88000000000012,15.125161290322584,2
314,19.0,6.0,48.0,21.677419354838708,2
315,19.0,8.0,93.04000000000008,39.11741935483875,2
316,20.0,3.0,82.4,37.67058823529412,2
317,20.0,4.0,78.88000000000012,11.320000000000004,2
318,20.0,6.0,48.0,21.176470588235293,2
319,20.0,8.0,93.04000000000008,32.30117647058827,2
320,21.0,3.0,82.4,34.89411764705883,2
321,21.0,4.0,78.88000000000012,15.882352941176478,2
322,21.0,6.0,48.0,16.058823529411764,2
323,21.0,8.0,93.04000000000008,44.22352941176476,2
324,22.0,3.0,82.4,32.188235294117646,2
325,22.0,4.0,78.88000000000012,16.823529411764714,2
326,22.0,6.0,54.0,19.235294117647058,2
327,22.0,8.0,93.04000000000008,50.05882352941183,2
328,23.0,3.0,82.4,35.27058823529411,2
329,23.0,4.0,78.88000000000012,15.02588235294118,2
330,23.0,6.0,54.0,15.705882352941176,2
331,23.0,8.0,93.04000000000008,52.887058823529486,2
332,24.0,3.0,82.4,35.141176470588235,2
333,24.0,4.0,78.88000000000012,13.437647058823533,2
334,24.0,6.0,54.0,20.470588235294116,2
335,24.0,8.0,93.04000000000008,48.19764705882359,2
336,25.0,3.0,82.4,34.951351351351356,2
337,25.0,4.0,78.88000000000012,13.338378378378383,2
338,25.0,6.0,54.0,18.64864864864865,2
339,25.0,8.0,93.04000000000008,48.410810810810865,2
340,26.0,3.0,82.4,35.372972972972974,2
341,26.0,4.0,78.88000000000012,13.483243243243246,2
342,26.0,6.0,54.0,19.62162162162162,2
343,26.0,8.0,93.04000000000008,40.8886486486487,2
344,27.0,3.0,82.4,36.88648648648648,2
345,27.0,4.0,78.88000000000012,16.56432432432433,2
346,27.0,6.0,54.0,17.675675675675677,2
347,27.0,8.0,93.04000000000008,39.77729729729734,2
348,28.0,3.0,82.4,35.96756756756757,2
349,28.0,4.0,78.88000000000012,13.645405405405409,2
350,28.0,6.0,54.0,18.64864864864865,2
351,28.0,8.0,93.04000000000008,46.48216216216222,2
352,29.0,3.0,82.4,36.88648648648649,2
353,29.0,4.0,78.88000000000012,14.998918918918926,2
354,29.0,6.0,54.0,13.135135135135135,2
355,29.0,8.0,93.04000000000008,47.99351351351358,2
356,30.0,3.0,82.4,37.589999999999996,2
357,30.0,4.0,78.88000000000012,16.372000000000003,2
358,30.0,6.0,54.0,16.2,2
359,30.0,8.0,93.04000000000008,35.914000000000044,2
360,1.0,3.0,42.0,6.96,3
361,1.0,4.0,24.0,3.36,3
362,1.0,6.0,30.0,4.803200000000011,3
363,1.0,8.0,80.80000000000013,28.31040000000004,3
364,2.0,3.0,42.0,9.84,3
365,2.0,4.0,24.0,4.8,3
366,2.0,6.0,30.0,6.72,3
367,2.0,8.0,83.20000000000013,24.870400000000032,3
368,3.0,3.0,42.0,11.04,3
369,3.0,4.0,24.0,6.24,3
370,3.0,6.0,42.0,8.88,3
371,3.0,8.0,84.40000000000013,24.47680000000003,3
372,4.0,3.0,54.0,21.84,3
373,4.0,4.0,24.0,7.446400000000004,3
374,4.0,6.0,48.0,8.88,3
375,4.0,8.0,84.40000000000013,32.64320000000005,3
376,5.0,3.0,83.68000000000013,24.210370370370374,3
377,5.0,4.0,30.0,11.11111111111111,3
378,5.0,6.0,48.0,10.222222222222221,3
379,5.0,8.0,87.28000000000011,33.597037037037076,3
380,6.0,3.0,83.68000000000013,28.773333333333337,3
381,6.0,4.0,30.0,11.348148148148152,3
382,6.0,6.0,48.0,13.777777777777779,3
383,6.0,8.0,87.28000000000011,36.78518518518523,3
384,7.0,3.0,83.68000000000013,30.314074074074078,3
385,7.0,4.0,42.0,13.777777777777779,3
386,7.0,6.0,48.0,8.444444444444445,3
387,7.0,8.0,87.28000000000011,31.67111111111115,3
388,8.0,3.0,83.68000000000013,22.74370370370371,3
389,8.0,4.0,42.0,9.333333333333334,3
390,8.0,6.0,48.0,7.333333333333333,3
391,8.0,8.0,87.28000000000011,26.96592592592596,3
392,9.0,3.0,83.68000000000013,24.669629629629636,3
393,9.0,4.0,42.0,11.555555555555555,3
394,9.0,6.0,48.0,8.88888888888889,3
395,9.0,8.0,87.28000000000011,26.98370370370373,3
396,10.0,3.0,83.68000000000013,26.2648275862069,3
397,10.0,4.0,42.0,12.413793103448276,3
398,10.0,6.0,48.0,11.172413793103448,3
399,10.0,8.0,87.28000000000011,29.947586206896585,3
400,11.0,3.0,83.68000000000013,33.82344827586208,3
401,11.0,4.0,42.0,13.655172413793103,3
402,11.0,6.0,48.0,10.96551724137931,3
403,11.0,8.0,87.28000000000011,44.44965517241385,3
404,12.0,3.0,83.68000000000013,31.699310344827587,3
405,12.0,4.0,60.64000000000009,15.318620689655184,3
406,12.0,6.0,48.0,15.724137931034482,3
407,12.0,8.0,87.28000000000011,38.23172413793108,3
408,13.0,3.0,83.68000000000013,37.96137931034483,3
409,13.0,4.0,60.64000000000009,13.884137931034486,3
410,13.0,6.0,48.0,10.551724137931034,3
411,13.0,8.0,87.28000000000011,40.55724137931038,3
412,14.0,3.0,83.68000000000013,29.809655172413798,3
413,14.0,4.0,60.64000000000009,15.746206896551728,3
414,14.0,6.0,48.0,10.96551724137931,3
415,14.0,8.0,87.28000000000011,48.63172413793111,3
416,15.0,3.0,83.68000000000013,30.76387096774194,3
417,15.0,4.0,60.64000000000009,14.890322580645167,3
418,15.0,6.0,48.0,10.64516129032258,3
419,15.0,8.0,87.28000000000011,54.183225806451695,3
420,16.0,3.0,83.68000000000013,26.892903225806457,3
421,16.0,4.0,60.64000000000009,14.923870967741939,3
422,16.0,6.0,48.0,12.96774193548387,3
423,16.0,8.0,88.4800000000001,30.849032258064547,3
424,17.0,3.0,83.68000000000013,31.047741935483877,3
425,17.0,4.0,75.28000000000011,15.365161290322593,3
426,17.0,6.0,48.0,11.225806451612904,3
427,17.0,8.0,88.4800000000001,41.63612903225812,3
428,18.0,3.0,83.68000000000013,26.970322580645167,3
429,18.0,4.0,75.28000000000011,16.170322580645163,3
430,18.0,6.0,48.0,12.774193548387096,3
431,18.0,8.0,88.4800000000001,38.78967741935488,3
432,19.0,3.0,83.68000000000013,31.21548387096775,3
433,19.0,4.0,75.28000000000011,16.18322580645162,3
434,19.0,6.0,48.0,14.709677419354838,3
435,19.0,8.0,89.9200000000001,38.90322580645166,3
436,20.0,3.0,83.68000000000013,32.21411764705883,3
437,20.0,4.0,75.28000000000011,14.920000000000002,3
438,20.0,6.0,75.28000000000011,15.62588235294118,3
439,20.0,8.0,89.9200000000001,47.49882352941182,3
440,21.0,3.0,83.68000000000013,25.79058823529412,3
441,21.0,4.0,75.28000000000011,14.743529411764708,3
442,21.0,6.0,75.28000000000011,14.037647058823532,3
443,21.0,8.0,89.9200000000001,39.12000000000005,3
444,22.0,3.0,83.68000000000013,36.390588235294125,3
445,22.0,4.0,75.28000000000011,20.56235294117648,3
446,22.0,6.0,75.28000000000011,12.802352941176473,3
447,22.0,8.0,89.9200000000001,43.86588235294123,3
448,23.0,3.0,83.68000000000013,34.225882352941184,3
449,23.0,4.0,75.28000000000011,18.242352941176478,3
450,23.0,6.0,75.28000000000011,8.920000000000002,3
451,23.0,8.0,89.9200000000001,41.244705882353,3
452,24.0,3.0,83.68000000000013,29.390588235294125,3
453,24.0,4.0,75.28000000000011,18.995294117647063,3
454,24.0,6.0,75.28000000000011,15.096470588235297,3
455,24.0,8.0,89.9200000000001,45.760000000000055,3
456,25.0,3.0,83.68000000000013,27.980540540540545,3
457,25.0,4.0,75.28000000000011,19.71027027027027,3
458,25.0,6.0,75.28000000000011,10.791351351351354,3
459,25.0,8.0,89.9200000000001,54.14702702702709,3
460,26.0,3.0,91.2,28.972972972972972,3
461,26.0,4.0,75.28000000000011,18.575135135135138,3
462,26.0,6.0,75.28000000000011,12.7372972972973,3
463,26.0,8.0,89.9200000000001,45.54378378378385,3
464,27.0,3.0,91.2,27.924324324324324,3
465,27.0,4.0,75.28000000000011,20.201081081081096,3
466,27.0,6.0,75.28000000000011,12.748108108108113,3
467,27.0,8.0,89.9200000000001,45.63459459459465,3
468,28.0,3.0,91.2,36.94054054054054,3
469,28.0,4.0,75.28000000000011,20.14054054054055,3
470,28.0,6.0,75.28000000000011,13.385945945945949,3
471,28.0,8.0,89.9200000000001,41.40108108108113,3
472,29.0,3.0,91.2,42.21621621621621,3
473,29.0,4.0,75.28000000000011,15.331891891891894,3
474,29.0,6.0,75.28000000000011,15.81837837837838,3
475,29.0,8.0,89.9200000000001,40.685405405405454,3
476,30.0,3.0,91.2,37.760000000000005,3
477,30.0,4.0,75.28000000000011,16.282000000000004,3
478,30.0,6.0,75.28000000000011,11.482000000000003,3
479,30.0,8.0,89.9200000000001,42.08400000000005,3
480,1.0,3.0,30.0,6.72,4
481,1.0,4.0,18.0,7.68,4
482,1.0,6.0,30.0,5.04,4
483,1.0,8.0,71.9200000000001,11.276800000000003,4
484,2.0,3.0,30.0,7.92,4
485,2.0,4.0,36.0,12.48,4
486,2.0,6.0,30.0,6.0,4
487,2.0,8.0,79.60000000000012,18.950400000000013,4
488,3.0,3.0,36.0,10.08,4
489,3.0,4.0,36.0,11.76,4
490,3.0,6.0,30.0,9.84,4
491,3.0,8.0,85.12000000000013,26.23680000000003,4
492,4.0,3.0,36.0,10.8,4
493,4.0,4.0,36.0,10.32,4
494,4.0,6.0,30.0,9.12,4
495,4.0,8.0,85.12000000000013,43.48480000000006,4
496,5.0,3.0,68.8,15.881481481481481,4
497,5.0,4.0,36.0,12.0,4
498,5.0,6.0,30.0,11.333333333333334,4
499,5.0,8.0,89.9200000000001,25.37481481481484,4
500,6.0,3.0,75.2,19.451851851851853,4
501,6.0,4.0,36.0,11.555555555555555,4
502,6.0,6.0,30.0,8.444444444444445,4
503,6.0,8.0,89.9200000000001,27.499259259259286,4
504,7.0,3.0,75.2,24.562962962962963,4
505,7.0,4.0,36.0,10.0,4
506,7.0,6.0,30.0,9.11111111111111,4
507,7.0,8.0,89.9200000000001,37.01629629629633,4
508,8.0,3.0,75.2,24.88888888888889,4
509,8.0,4.0,36.0,11.333333333333334,4
510,8.0,6.0,48.0,10.444444444444445,4
511,8.0,8.0,89.9200000000001,45.739259259259306,4
512,9.0,3.0,75.2,25.21481481481481,4
513,9.0,4.0,36.0,8.444444444444445,4
514,9.0,6.0,48.0,13.555555555555555,4
515,9.0,8.0,89.9200000000001,37.86074074074078,4
516,10.0,3.0,75.2,21.627586206896552,4
517,10.0,4.0,36.0,11.793103448275861,4
518,10.0,6.0,48.0,13.862068965517242,4
519,10.0,8.0,89.9200000000001,30.22068965517245,4
520,11.0,3.0,75.2,22.24827586206897,4
521,11.0,4.0,36.0,8.275862068965518,4
522,11.0,6.0,48.0,14.482758620689655,4
523,11.0,8.0,89.9200000000001,32.408275862069004,4
524,12.0,3.0,75.2,26.386206896551727,4
525,12.0,4.0,36.0,8.67034482758621,4
526,12.0,6.0,48.0,10.551724137931034,4
527,12.0,8.0,89.9200000000001,35.37103448275866,4
528,13.0,3.0,78.4,27.310344827586206,4
529,13.0,4.0,36.0,8.165517241379314,4
530,13.0,6.0,48.0,11.172413793103448,4
531,13.0,8.0,92.32000000000008,36.38344827586211,4
532,14.0,3.0,78.4,25.048275862068966,4
533,14.0,4.0,36.0,11.172413793103448,4
534,14.0,6.0,48.0,9.517241379310345,4
535,14.0,8.0,92.32000000000008,39.616551724137985,4
536,15.0,3.0,78.4,29.832258064516132,4
537,15.0,4.0,48.0,12.198709677419357,4
538,15.0,6.0,48.0,10.451612903225806,4
539,15.0,8.0,92.32000000000008,41.329032258064565,4
540,16.0,3.0,78.4,34.99354838709677,4
541,16.0,4.0,48.0,14.516129032258064,4
542,16.0,6.0,48.0,10.064516129032258,4
